Year,CountyCode,County,HarvestedAcres,Yield,Production,Price
1982,17,ElDorado,245.0,3.25,796.0,417.0
1982,19,Fresno,31691.0,11.19,354600.0,153.0
1982,21,Glenn,875.0,6.75,5906.0,150.0
1982,29,Kern,31972.0,10.43,333370.0,146.0
1982,31,Kings,1074.0,10.55,11331.0,124.0
1982,33,Lake,2616.0,3.27,8556.0,498.0
1982,39,Madera,27893.0,10.0,278930.0,140.0
1982,45,Mendocino,9667.0,4.7,45456.0,421.0
1982,47,Merced,12580.0,10.13,127400.0,143.0
1982,53,Monterey,24673.0,3.64,89735.0,462.0
1982,55,Napa,24168.0,4.08,98687.0,773.0
1982,61,Placer,129.0,1.22,157.0,303.0
1982,65,Riverside,2583.0,3.41,8810.0,249.0
1982,67,Sacramento,3410.0,2.99,10200.0,180.0
1982,69,SanBenito,4575.0,3.1,14180.0,400.0
1982,71,SanBernardino,6990.0,3.16,22110.0,183.0
1982,73,SanDiego,281.0,2.6,731.0,404.0
1982,77,SanJoaquin,33386.0,7.28,243000.0,167.0
1982,79,SanLuisObispo,4500.0,3.9,17550.0,602.0
1982,83,SantaBarbara,6382.0,2.95,18827.0,561.0
1982,85,SantaClara,1732.0,3.0,5195.0,400.0
1982,95,Solano,1164.0,4.78,5560.0,258.0
1982,97,Sonoma,24746.0,4.0,98979.0,565.0
1982,99,Stanislaus,19767.0,9.51,187900.0,119.0
1982,107,Tulare,13671.0,8.19,112000.0,187.0
1982,113,Yolo,501.0,9.1,4559.0,294.0
1981,1,Alameda,1725.0,2.82,4860.0,548.0
1981,5,Amador,930.0,3.18,2957.0,487.0
1981,9,Calaveras,57.0,0.88,50.0,450.0
1981,19,Fresno,34210.0,8.54,292000.0,205.0
1981,29,Kern,33840.0,7.97,269860.0,186.0
1981,31,Kings,1029.0,6.04,6215.0,230.0
1981,33,Lake,2678.0,2.69,7206.0,500.0
1981,39,Madera,27713.0,9.0,249417.0,195.0
1981,47,Merced,13536.0,7.8,105600.0,219.0
1981,55,Napa,22152.0,3.62,80155.0,732.0
1981,65,Riverside,2377.0,4.07,9667.0,404.0
1981,67,Sacramento,3350.0,6.99,23400.0,224.0
1981,69,SanBenito,4550.0,2.8,12750.0,500.0
1981,71,SanBernardino,8020.0,1.85,14840.0,162.0
1981,73,SanDiego,149.0,3.3,492.0,472.0
1981,77,SanJoaquin,31668.0,6.56,207600.0,254.0
1981,83,SantaBarbara,5496.0,2.78,15279.0,554.0
1981,95,Solano,1140.0,4.52,5154.0,328.0
1981,97,Sonoma,23776.0,3.39,80675.0,590.0
