,Film,Year,Body_Count,MPAA_Rating,Genre,Director,Length_Minutes,IMDB_Rating,Film_Count,Body_Count_Min
860,On Deadly Ground,1994,25.0,R,Action,Steven Seagal,101,4.1,1,0.24752475247524752
861,On Deadly Ground,1994,25.0,R,Adventure,Steven Seagal,101,4.1,1,0.24752475247524752
862,On Deadly Ground,1994,25.0,R,Thriller,Steven Seagal,101,4.1,1,0.24752475247524752
863,On Her Majesty's Secret Service,1969,26.0,M,Action,Peter R. Hunt,142,6.8,1,0.18309859154929578
864,On Her Majesty's Secret Service,1969,26.0,M,Adventure,Peter R. Hunt,142,6.8,1,0.18309859154929578
865,On Her Majesty's Secret Service,1969,26.0,M,Crime,Peter R. Hunt,142,6.8,1,0.18309859154929578
866,On Her Majesty's Secret Service,1969,26.0,M,Romance,Peter R. Hunt,142,6.8,1,0.18309859154929578
867,On Her Majesty's Secret Service,1969,26.0,M,Thriller,Peter R. Hunt,142,6.8,1,0.18309859154929578
868,Once Upon A Time In Mexico,2003,99.0,R,Action,Robert Rodriguez,102,6.3,1,0.9705882352941176
869,Once Upon A Time In Mexico,2003,99.0,R,Thriller,Robert Rodriguez,102,6.3,1,0.9705882352941176
870,Once a Thief,1991,59.0,R,Action,John Woo,103,6.7,1,0.5728155339805825
871,Once a Thief,1991,59.0,R,Comedy,John Woo,103,6.7,1,0.5728155339805825
872,Once a Thief,1991,59.0,R,Crime,John Woo,103,6.7,1,0.5728155339805825
873,Operation Delta Force,1997,120.0,R,Action,Sam Firstenberg,93,3.2,1,1.2903225806451613
874,Operation Delta Force,1997,120.0,R,Thriller,Sam Firstenberg,93,3.2,1,1.2903225806451613
875,Out For Justice,1991,20.0,R,Action,John Flynn,91,5.8,1,0.21978021978021978
876,Out For Justice,1991,20.0,R,Thriller,John Flynn,91,5.8,1,0.21978021978021978
877,Out For Justice,1991,20.0,R,Crime,John Flynn,91,5.8,1,0.21978021978021978
878,Out For Justice,1991,20.0,R,Drama,John Flynn,91,5.8,1,0.21978021978021978
879,Out of Sight,1998,9.0,R,Comedy,Steven Soderbergh,123,7.0,1,0.07317073170731707
880,Out of Sight,1998,9.0,R,Crime,Steven Soderbergh,123,7.0,1,0.07317073170731707
881,Out of Sight,1998,9.0,R,Romance,Steven Soderbergh,123,7.0,1,0.07317073170731707
882,Out of Sight,1998,9.0,R,Thriller,Steven Soderbergh,123,7.0,1,0.07317073170731707
883,Pan's Labyrinth,2006,30.0,R,Drama,Guillermo del Toro,118,8.3,1,0.2542372881355932
884,Pan's Labyrinth,2006,30.0,R,Fantasy,Guillermo del Toro,118,8.3,1,0.2542372881355932
885,Pan's Labyrinth,2006,30.0,R,War,Guillermo del Toro,118,8.3,1,0.2542372881355932
886,Paths of Glory,1957,67.0,Approved,Drama,Stanley Kubrick,88,8.5,1,0.7613636363636364
887,Paths of Glory,1957,67.0,Approved,War,Stanley Kubrick,88,8.5,1,0.7613636363636364
888,Patriot Games,1992,35.0,R,Action,Phillip Noyce,117,6.9,1,0.29914529914529914
889,Patriot Games,1992,35.0,R,Crime,Phillip Noyce,117,6.9,1,0.29914529914529914
890,Patriot Games,1992,35.0,R,Drama,Phillip Noyce,117,6.9,1,0.29914529914529914
891,Patriot Games,1992,35.0,R,Thriller,Phillip Noyce,117,6.9,1,0.29914529914529914
892,Patton,1970,199.0,GP,Biography,Franklin J. Schaffner,172,8.0,1,1.1569767441860466
893,Patton,1970,199.0,GP,Drama,Franklin J. Schaffner,172,8.0,1,1.1569767441860466
894,Patton,1970,199.0,GP,History,Franklin J. Schaffner,172,8.0,1,1.1569767441860466
895,Payback,1999,18.0,R,Action,Brian Helgeland,100,7.0,1,0.18
896,Payback,1999,18.0,R,Crime,Brian Helgeland,100,7.0,1,0.18
897,Payback,1999,18.0,R,Drama,Brian Helgeland,100,7.0,1,0.18
898,Payback,1999,18.0,R,Thriller,Brian Helgeland,100,7.0,1,0.18
899,Pearl Harbor,2001,153.0,PG-13,Action,Michael Bay,183,5.8,1,0.8360655737704918
900,Pearl Harbor,2001,153.0,PG-13,Drama,Michael Bay,183,5.8,1,0.8360655737704918
901,Pearl Harbor,2001,153.0,PG-13,Romance,Michael Bay,183,5.8,1,0.8360655737704918
902,Pearl Harbor,2001,153.0,PG-13,War,Michael Bay,183,5.8,1,0.8360655737704918
903,Pirates of the Caribbean: At World's End,2007,252.0,PG-13,Action,Gore Verbinski,169,7.0,1,1.4911242603550297
904,Pirates of the Caribbean: At World's End,2007,252.0,PG-13,Adventure,Gore Verbinski,169,7.0,1,1.4911242603550297
905,Pirates of the Caribbean: At World's End,2007,252.0,PG-13,Fantasy,Gore Verbinski,169,7.0,1,1.4911242603550297
906,Pirates of the Caribbean: Curse of the Black Pearl,2003,42.0,PG-13,Action,Gore Verbinski,143,8.1,1,0.2937062937062937
907,Pirates of the Caribbean: Curse of the Black Pearl,2003,42.0,PG-13,Adventure,Gore Verbinski,143,8.1,1,0.2937062937062937
908,Pirates of the Caribbean: Curse of the Black Pearl,2003,42.0,PG-13,Fantasy,Gore Verbinski,143,8.1,1,0.2937062937062937
909,Pirates of the Caribbean: Dead Man's Chest,2006,90.0,PG-13,Action,Gore Verbinski,151,7.3,1,0.5960264900662252
910,Pirates of the Caribbean: Dead Man's Chest,2006,90.0,PG-13,Adventure,Gore Verbinski,151,7.3,1,0.5960264900662252
911,Pirates of the Caribbean: Dead Man's Chest,2006,90.0,PG-13,Fantasy,Gore Verbinski,151,7.3,1,0.5960264900662252
912,Plan 9 from Outer Space,1959,7.0,Unrated,Action,Edward D. Wood Jr.,79,3.9,1,0.08860759493670886
913,Plan 9 from Outer Space,1959,7.0,Unrated,Adventure,Edward D. Wood Jr.,79,3.9,1,0.08860759493670886
914,Plan 9 from Outer Space,1959,7.0,Unrated,Horror,Edward D. Wood Jr.,79,3.9,1,0.08860759493670886
915,Plan 9 from Outer Space,1959,7.0,Unrated,Sci-Fi,Edward D. Wood Jr.,79,3.9,1,0.08860759493670886
916,Planet of the Apes,2001,99.0,PG-13,Action,Tim Burton,119,5.7,1,0.8319327731092437
917,Planet of the Apes,2001,99.0,PG-13,Adventure,Tim Burton,119,5.7,1,0.8319327731092437
918,Planet of the Apes,2001,99.0,PG-13,Sci-Fi,Tim Burton,119,5.7,1,0.8319327731092437
919,Platoon,1986,160.0,R,Action,Oliver Stone,120,8.2,1,1.3333333333333333
920,Platoon,1986,160.0,R,Drama,Oliver Stone,120,8.2,1,1.3333333333333333
921,Platoon,1986,160.0,R,War,Oliver Stone,120,8.2,1,1.3333333333333333
922,Platoon Leader,1988,106.0,R,War,Aaron Norris,97,5.1,1,1.092783505154639
923,Platoon Leader,1988,106.0,R,Drama,Aaron Norris,97,5.1,1,1.092783505154639
924,Point of No Return,1993,35.0,R,Action,John Badham,109,5.8,1,0.3211009174311927
925,Point of No Return,1993,35.0,R,Crime,John Badham,109,5.8,1,0.3211009174311927
926,Point of No Return,1993,35.0,R,Thriller,John Badham,109,5.8,1,0.3211009174311927
927,Poseidon,2006,214.0,PG-13,Action,Wolfgang Petersen,98,5.6,1,2.183673469387755
928,Poseidon,2006,214.0,PG-13,Adventure,Wolfgang Petersen,98,5.6,1,2.183673469387755
929,Poseidon,2006,214.0,PG-13,Drama,Wolfgang Petersen,98,5.6,1,2.183673469387755
930,Predator,1987,64.0,R,Action,John McTiernan,107,7.8,1,0.5981308411214953
931,Predator,1987,64.0,R,Adventure,John McTiernan,107,7.8,1,0.5981308411214953
932,Predator,1987,64.0,R,Sci-Fi,John McTiernan,107,7.8,1,0.5981308411214953
933,Predator,1987,64.0,R,Thriller,John McTiernan,107,7.8,1,0.5981308411214953
934,Prince of Jutland,1994,38.0,R,Adventure,Gabriel Axel,103,5.8,1,0.36893203883495146
935,Prince of Jutland,1994,38.0,R,Drama,Gabriel Axel,103,5.8,1,0.36893203883495146
936,Prince of Jutland,1994,38.0,R,Adventure,Gabriel Axel,103,5.8,1,0.36893203883495146
937,Prince of Jutland,1994,38.0,R,Drama,Gabriel Axel,103,5.8,1,0.36893203883495146
938,Pulp,1972,6.0,PG,Comedy,Mike Hodges,95,6.0,1,0.06315789473684211
939,Pulp,1972,6.0,PG,Crime,Mike Hodges,95,6.0,1,0.06315789473684211
940,Pulp,1972,6.0,PG,Drama,Mike Hodges,95,6.0,1,0.06315789473684211
941,Pulp,1972,6.0,PG,Mystery,Mike Hodges,95,6.0,1,0.06315789473684211
942,Pulp,1972,6.0,PG,Thriller,Mike Hodges,95,6.0,1,0.06315789473684211
943,Pulp Fiction,1994,10.0,R,Crime,Quentin Tarantino,154,9.0,1,0.06493506493506493
944,Pulp Fiction,1994,10.0,R,Drama,Quentin Tarantino,154,9.0,1,0.06493506493506493
945,Pulp Fiction,1994,10.0,R,Thriller,Quentin Tarantino,154,9.0,1,0.06493506493506493
946,Punisher: War Zone,2008,129.0,R,Action,Lexi Alexander,103,6.0,1,1.2524271844660195
947,Punisher: War Zone,2008,129.0,R,Crime,Lexi Alexander,103,6.0,1,1.2524271844660195
948,Punisher: War Zone,2008,129.0,R,Drama,Lexi Alexander,103,6.0,1,1.2524271844660195
949,Push,2009,24.0,PG-13,Action,Paul McGuigan,111,6.1,1,0.21621621621621623
950,Push,2009,24.0,PG-13,Sci-Fi,Paul McGuigan,111,6.1,1,0.21621621621621623
951,Push,2009,24.0,PG-13,Thriller,Paul McGuigan,111,6.1,1,0.21621621621621623
952,Raiders of the Lost Ark,1981,84.0,PG,Action,Steven Spielberg,115,8.6,1,0.7304347826086957
953,Raiders of the Lost Ark,1981,84.0,PG,Adventure,Steven Spielberg,115,8.6,1,0.7304347826086957
954,Rambo,2008,247.0,R,Action,Sylvester Stallone,92,7.1,1,2.6847826086956523
955,Rambo,2008,247.0,R,Thriller,Sylvester Stallone,92,7.1,1,2.6847826086956523
956,Rambo,2008,247.0,R,War,Sylvester Stallone,92,7.1,1,2.6847826086956523
957,Rambo III,1988,127.0,R,Action,Peter MacDonald,102,5.5,1,1.2450980392156863
958,Rambo III,1988,127.0,R,Adventure,Peter MacDonald,102,5.5,1,1.2450980392156863
959,Rambo III,1988,127.0,R,Thriller,Peter MacDonald,102,5.5,1,1.2450980392156863
960,Rambo: First,1985,67.0,R,Action,George P. Cosmatos,96,6.2,1,0.6979166666666666
961,Rambo: First,1985,67.0,R,War,George P. Cosmatos,96,6.2,1,0.6979166666666666
962,Ran,1985,182.0,R,Action,Akira Kurosawa,162,8.3,1,1.123456790123457
963,Ran,1985,182.0,R,Drama,Akira Kurosawa,162,8.3,1,1.123456790123457
964,Ran,1985,182.0,R,War,Akira Kurosawa,162,8.3,1,1.123456790123457
965,Raw Deal,1986,38.0,R,Action,John Irvin,106,5.3,1,0.3584905660377358
966,Raw Deal,1986,38.0,R,Crime,John Irvin,106,5.3,1,0.3584905660377358
967,Raw Deal,1986,38.0,R,Thriller,John Irvin,106,5.3,1,0.3584905660377358
968,Red Dawn,1984,118.0,PG-13,Action,John Milius,114,6.2,1,1.0350877192982457
969,Red Dawn,1984,118.0,PG-13,Adventure,John Milius,114,6.2,1,1.0350877192982457
970,Red Dawn,1984,118.0,PG-13,Drama,John Milius,114,6.2,1,1.0350877192982457
971,Red Planet,2000,4.0,PG-13,Sci-Fi,Antony Hoffman,106,5.6,1,0.03773584905660377
972,Red Planet,2000,4.0,PG-13,Action,Antony Hoffman,106,5.6,1,0.03773584905660377
973,Red Planet,2000,4.0,PG-13,Thriller,Antony Hoffman,106,5.6,1,0.03773584905660377
974,Red Scorpion,1989,104.0,R,Action,Joseph Zito,105,4.7,1,0.9904761904761905
975,Red Scorpion,1989,104.0,R,Adventure,Joseph Zito,105,4.7,1,0.9904761904761905
976,Red Sonja,1985,96.0,PG-13,Action,Richard Fleischer,89,4.8,1,1.0786516853932584
977,Red Sonja,1985,96.0,PG-13,Adventure,Richard Fleischer,89,4.8,1,1.0786516853932584
978,Red Sonja,1985,96.0,PG-13,Fantasy,Richard Fleischer,89,4.8,1,1.0786516853932584
979,Red Sun,1971,92.0,PG,Thriller,Terence Young,112,6.9,1,0.8214285714285714
980,Red Sun,1971,92.0,PG,Western,Terence Young,112,6.9,1,0.8214285714285714
981,Reign of Fire,2002,32.0,PG-13,Action,Rob Bowman,101,6.1,1,0.31683168316831684
982,Reign of Fire,2002,32.0,PG-13,Adventure,Rob Bowman,101,6.1,1,0.31683168316831684
983,Reign of Fire,2002,32.0,PG-13,Fantasy,Rob Bowman,101,6.1,1,0.31683168316831684
984,Reign of Fire,2002,32.0,PG-13,Sci-Fi,Rob Bowman,101,6.1,1,0.31683168316831684
985,Reign of Fire,2002,32.0,PG-13,Thriller,Rob Bowman,101,6.1,1,0.31683168316831684
986,Reservoir Dogs,1992,12.0,R,Crime,Quentin Tarantino,99,8.4,1,0.12121212121212122
987,Reservoir Dogs,1992,12.0,R,Thriller,Quentin Tarantino,99,8.4,1,0.12121212121212122
988,Resident Evil: Apocalypse,2004,123.0,R,Action,Alexander Witt,94,6.0,1,1.3085106382978724
989,Resident Evil: Apocalypse,2004,123.0,R,Horror,Alexander Witt,94,6.0,1,1.3085106382978724
990,Resident Evil: Apocalypse,2004,123.0,R,Sci-Fi,Alexander Witt,94,6.0,1,1.3085106382978724
991,Resident Evil: Apocalypse,2004,123.0,R,Thriller,Alexander Witt,94,6.0,1,1.3085106382978724
992,Resident Evil: Extinction,2007,124.0,R,Action,Russell Mulcahy,94,6.2,1,1.3191489361702127
993,Resident Evil: Extinction,2007,124.0,R,Horror,Russell Mulcahy,94,6.2,1,1.3191489361702127
994,Resident Evil: Extinction,2007,124.0,R,Sci-Fi,Russell Mulcahy,94,6.2,1,1.3191489361702127
995,Resident Evil: Extinction,2007,124.0,R,Thriller,Russell Mulcahy,94,6.2,1,1.3191489361702127
996,Riders,2002,6.0,R,Action,Gerard Pires,83,5.4,1,0.07228915662650602
997,Riders,2002,6.0,R,Crime,Gerard Pires,83,5.4,1,0.07228915662650602
998,Riders,2002,6.0,R,Thriller,Gerard Pires,83,5.4,1,0.07228915662650602
999,Riders,2002,6.0,R,Action,Gerard Pires,83,5.4,1,0.07228915662650602
1000,Riders,2002,6.0,R,Crime,Gerard Pires,83,5.4,1,0.07228915662650602
1001,Riders,2002,6.0,R,Thriller,Gerard Pires,83,5.4,1,0.07228915662650602
1002,Ripley's Game,2002,11.0,R,Crime,Liliana Cavani,110,6.6,1,0.1
1003,Ripley's Game,2002,11.0,R,Drama,Liliana Cavani,110,6.6,1,0.1
1004,Ripley's Game,2002,11.0,R,Mystery,Liliana Cavani,110,6.6,1,0.1
1005,Ripley's Game,2002,11.0,R,Thriller,Liliana Cavani,110,6.6,1,0.1
1006,Ritana,2002,91.0,R,Action,Takashi Yamazaki,116,6.5,1,0.7844827586206896
1007,Ritana,2002,91.0,R,Adventure,Takashi Yamazaki,116,6.5,1,0.7844827586206896
1008,Ritana,2002,91.0,R,Sci-Fi,Takashi Yamazaki,116,6.5,1,0.7844827586206896
1009,Road House,1989,7.0,R,Action,Rowdy Herrington,114,6.2,1,0.06140350877192982
1010,Road House,1989,7.0,R,Thriller,Rowdy Herrington,114,6.2,1,0.06140350877192982
1011,RoboCop,1987,34.0,R,Action,Paul Verhoeven,102,7.5,1,0.3333333333333333
1012,RoboCop,1987,34.0,R,Crime,Paul Verhoeven,102,7.5,1,0.3333333333333333
1013,RoboCop,1987,34.0,R,Sci-Fi,Paul Verhoeven,102,7.5,1,0.3333333333333333
1014,RocknRolla,2008,11.0,R,Action,Guy Ritchie,114,7.3,1,0.09649122807017543
1015,RocknRolla,2008,11.0,R,Crime,Guy Ritchie,114,7.3,1,0.09649122807017543
1016,RocknRolla,2008,11.0,R,Thriller,Guy Ritchie,114,7.3,1,0.09649122807017543
1017,Romeo is Bleeding,1993,15.0,R,Crime,Peter Medak,100,6.5,1,0.15
1018,Romeo is Bleeding,1993,15.0,R,Drama,Peter Medak,100,6.5,1,0.15
1019,Romeo is Bleeding,1993,15.0,R,Thriller,Peter Medak,100,6.5,1,0.15
1020,Ronin,1998,34.0,R,Action,John Frankenheimer,122,7.2,1,0.2786885245901639
1021,Ronin,1998,34.0,R,Adventure,John Frankenheimer,122,7.2,1,0.2786885245901639
1022,Ronin,1998,34.0,R,Crime,John Frankenheimer,122,7.2,1,0.2786885245901639
1023,Ronin,1998,34.0,R,Thriller,John Frankenheimer,122,7.2,1,0.2786885245901639
1024,Running Scared,2006,22.0,R,Action,Wayne Kramer,122,7.4,1,0.18032786885245902
1025,Running Scared,2006,22.0,R,Crime,Wayne Kramer,122,7.4,1,0.18032786885245902
1026,Running Scared,2006,22.0,R,Drama,Wayne Kramer,122,7.4,1,0.18032786885245902
1027,Running Scared,2006,22.0,R,Thriller,Wayne Kramer,122,7.4,1,0.18032786885245902
1028,Sabata,1969,90.0,PG-13,Western,Gianfranco Parolini,111,6.8,1,0.8108108108108109
1029,Sahara,2005,68.0,PG-13,Action,Breck Eisner,124,5.9,1,0.5483870967741935
1030,Sahara,2005,68.0,PG-13,Adventure,Breck Eisner,124,5.9,1,0.5483870967741935
1031,Sahara,2005,68.0,PG-13,Comedy,Breck Eisner,124,5.9,1,0.5483870967741935
1032,Sahara,2005,68.0,PG-13,Thriller,Breck Eisner,124,5.9,1,0.5483870967741935
1033,Sahara,2005,68.0,PG-13,War,Breck Eisner,124,5.9,1,0.5483870967741935
1034,Samurai Assassin,1965,94.0,Unrated,Action,Kihachi Okamoto,122,7.6,1,0.7704918032786885
1035,Samurai Assassin,1965,94.0,Unrated,Adventure,Kihachi Okamoto,122,7.6,1,0.7704918032786885
1036,Samurai Assassin,1965,94.0,Unrated,Drama,Kihachi Okamoto,122,7.6,1,0.7704918032786885
1037,Samurai I: Musashi Miyamoto,1954,50.0,Unrated,Action,Hiroshi Inagaki,93,7.6,1,0.5376344086021505
1038,Samurai I: Musashi Miyamoto,1954,50.0,Unrated,Adventure,Hiroshi Inagaki,93,7.6,1,0.5376344086021505
1039,Samurai I: Musashi Miyamoto,1954,50.0,Unrated,Biography,Hiroshi Inagaki,93,7.6,1,0.5376344086021505
1040,Saving Private Ryan,1998,255.0,R,Action,Steven Spielberg,169,8.6,1,1.5088757396449703
1041,Saving Private Ryan,1998,255.0,R,Drama,Steven Spielberg,169,8.6,1,1.5088757396449703
1042,Saving Private Ryan,1998,255.0,R,War,Steven Spielberg,169,8.6,1,1.5088757396449703
1043,Scarface,1983,44.0,R,Crime,Brian De Palma,170,8.3,1,0.25882352941176473
1044,Scarface,1983,44.0,R,Drama,Brian De Palma,170,8.3,1,0.25882352941176473
1045,Schindler's List,1993,98.0,R,Biography,Steven Spielberg,195,8.9,1,0.5025641025641026
1046,Schindler's List,1993,98.0,R,Drama,Steven Spielberg,195,8.9,1,0.5025641025641026
1047,Schindler's List,1993,98.0,R,History,Steven Spielberg,195,8.9,1,0.5025641025641026
1048,Screamers,1995,62.0,R,Action,Christian Duguay,108,6.3,1,0.5740740740740741
1049,Screamers,1995,62.0,R,Adventure,Christian Duguay,108,6.3,1,0.5740740740740741
1050,Screamers,1995,62.0,R,Horror,Christian Duguay,108,6.3,1,0.5740740740740741
1051,Secret Window,2004,4.0,PG-13,Mystery,David Koepp,96,6.5,1,0.041666666666666664
1052,Secret Window,2004,4.0,PG-13,Thriller,David Koepp,96,6.5,1,0.041666666666666664
1053,Secret of NIMH,1982,12.0,G,Animation,Don Bluth,82,7.5,1,0.14634146341463414
1054,Secret of NIMH,1982,12.0,G,Drama,Don Bluth,82,7.5,1,0.14634146341463414
1055,Secret of NIMH,1982,12.0,G,Family,Don Bluth,82,7.5,1,0.14634146341463414
1056,Secret of NIMH,1982,12.0,G,Fantasy,Don Bluth,82,7.5,1,0.14634146341463414
1057,Secret of NIMH,1982,12.0,G,Sci-Fi,Don Bluth,82,7.5,1,0.14634146341463414
1058,Serenity,2005,74.0,PG-13,Action,Joss Whedon,119,7.9,1,0.6218487394957983
1059,Serenity,2005,74.0,PG-13,Adventure,Joss Whedon,119,7.9,1,0.6218487394957983
1060,Serenity,2005,74.0,PG-13,Sci-Fi,Joss Whedon,119,7.9,1,0.6218487394957983
1061,Serenity,2005,74.0,PG-13,Thriller,Joss Whedon,119,7.9,1,0.6218487394957983
1062,Seven Samurai,1954,65.0,Unrated,Action,Akira Kurosawa,207,8.8,1,0.3140096618357488
1063,Seven Samurai,1954,65.0,Unrated,Drama,Akira Kurosawa,207,8.8,1,0.3140096618357488
1064,Severance,2006,28.0,R,Comedy,Christopher Smith,96,6.5,1,0.2916666666666667
1065,Severance,2006,28.0,R,Horror,Christopher Smith,96,6.5,1,0.2916666666666667
1066,Severance,2006,28.0,R,Thriller,Christopher Smith,96,6.5,1,0.2916666666666667
1067,Shaft,2000,22.0,R,Action,John Singleton,99,5.9,1,0.2222222222222222
1068,Shaft,2000,22.0,R,Crime,John Singleton,99,5.9,1,0.2222222222222222
1069,Shaft,2000,22.0,R,Thriller,John Singleton,99,5.9,1,0.2222222222222222
1070,Shaun of the Dead,2004,60.0,R,Comedy,Edgar Wright,99,8.0,1,0.6060606060606061
1071,Shaun of the Dead,2004,60.0,R,Horror,Edgar Wright,99,8.0,1,0.6060606060606061
1072,Shoot 'Em Up,2007,151.0,R,Action,Michael Davis,86,6.7,1,1.755813953488372
1073,Shoot 'Em Up,2007,151.0,R,Comedy,Michael Davis,86,6.7,1,1.755813953488372
1074,Shoot 'Em Up,2007,151.0,R,Crime,Michael Davis,86,6.7,1,1.755813953488372
1075,Shoot 'Em Up,2007,151.0,R,Thriller,Michael Davis,86,6.7,1,1.755813953488372
1076,Shooter,2007,56.0,R,Action,Antoine Fuqua,124,7.1,1,0.45161290322580644
1077,Shooter,2007,56.0,R,Crime,Antoine Fuqua,124,7.1,1,0.45161290322580644
1078,Shooter,2007,56.0,R,Drama,Antoine Fuqua,124,7.1,1,0.45161290322580644
1079,Showdown in,1991,48.0,R,Action,Mark L. Lester,79,5.8,1,0.6075949367088608
1080,Showdown in,1991,48.0,R,Comedy,Mark L. Lester,79,5.8,1,0.6075949367088608
1081,Showdown in,1991,48.0,R,Crime,Mark L. Lester,79,5.8,1,0.6075949367088608
1082,Showdown in,1991,48.0,R,Thriller,Mark L. Lester,79,5.8,1,0.6075949367088608
1083,Shutter Island,2010,171.0,R,Drama,Martin Scorsese,138,8.0,1,1.2391304347826086
1084,Shutter Island,2010,171.0,R,Mystery,Martin Scorsese,138,8.0,1,1.2391304347826086
1085,Shutter Island,2010,171.0,R,Thriller,Martin Scorsese,138,8.0,1,1.2391304347826086
1086,Signs,2002,3.0,PG-13,Drama,M. Night Shyamalan,106,6.7,1,0.02830188679245283
1087,Signs,2002,3.0,PG-13,Sci-Fi,M. Night Shyamalan,106,6.7,1,0.02830188679245283
1088,Signs,2002,3.0,PG-13,Thriller,M. Night Shyamalan,106,6.7,1,0.02830188679245283
1089,Silent Trigger,1996,35.0,R,Action,Russell Mulcahy,93,5.4,1,0.3763440860215054
1090,Silent Trigger,1996,35.0,R,Drama,Russell Mulcahy,93,5.4,1,0.3763440860215054
1091,Silent Trigger,1996,35.0,R,Thriller,Russell Mulcahy,93,5.4,1,0.3763440860215054
1092,Sin City,2005,53.0,R,Crime,Frank Miller|Robert Rodriguez|Quentin Tarantino,124,8.2,1,0.4274193548387097
1093,Sin City,2005,53.0,R,Thriller,Frank Miller|Robert Rodriguez|Quentin Tarantino,124,8.2,1,0.4274193548387097
1094,Sleepy Hollow,1999,25.0,R,Adventure,Tim Burton,105,7.4,1,0.23809523809523808
1095,Sleepy Hollow,1999,25.0,R,Mystery,Tim Burton,105,7.4,1,0.23809523809523808
1096,Slither,2006,102.0,R,Horror,James Gunn,95,6.5,1,1.0736842105263158
1097,Slither,2006,102.0,R,Sci-Fi,James Gunn,95,6.5,1,1.0736842105263158
1098,Slumdog Millionaire,2008,8.0,R,Drama,Danny Boyle|Loveleen Tandan,120,8.0,1,0.06666666666666667
1099,Slumdog Millionaire,2008,8.0,R,Romance,Danny Boyle|Loveleen Tandan,120,8.0,1,0.06666666666666667
1100,Slumdog Millionaire,2008,8.0,R,Thriller,Danny Boyle|Loveleen Tandan,120,8.0,1,0.06666666666666667
1101,Smokin' Aces,2007,47.0,R,Action,Joe Carnahan,109,6.6,1,0.43119266055045874
1102,Smokin' Aces,2007,47.0,R,Crime,Joe Carnahan,109,6.6,1,0.43119266055045874
1103,Smokin' Aces,2007,47.0,R,Drama,Joe Carnahan,109,6.6,1,0.43119266055045874
1104,Smokin' Aces,2007,47.0,R,Thriller,Joe Carnahan,109,6.6,1,0.43119266055045874
1105,Snakes on a Plane,2006,60.0,R,Action,David R. Ellis,105,5.6,1,0.5714285714285714
1106,Snakes on a Plane,2006,60.0,R,Thriller,David R. Ellis,105,5.6,1,0.5714285714285714
1107,Snatch,2000,26.0,R,Crime,Guy Ritchie,104,8.3,1,0.25
1108,Snatch,2000,26.0,R,Thriller,Guy Ritchie,104,8.3,1,0.25
1109,Soldier,1998,77.0,R,Action,Paul W.S. Anderson,99,5.8,1,0.7777777777777778
1110,Soldier,1998,77.0,R,Drama,Paul W.S. Anderson,99,5.8,1,0.7777777777777778
1111,Soldier,1998,77.0,R,Sci-Fi,Paul W.S. Anderson,99,5.8,1,0.7777777777777778
1112,Spartan,2004,15.0,R,Action,David Mamet,106,6.6,1,0.14150943396226415
1113,Spartan,2004,15.0,R,Crime,David Mamet,106,6.6,1,0.14150943396226415
1114,Spartan,2004,15.0,R,Drama,David Mamet,106,6.6,1,0.14150943396226415
1115,Spartan,2004,15.0,R,Mystery,David Mamet,106,6.6,1,0.14150943396226415
1116,Spartan,2004,15.0,R,Thriller,David Mamet,106,6.6,1,0.14150943396226415
1117,Speed,1994,7.0,R,Action,Jan de Bont,116,7.2,1,0.0603448275862069
1118,Speed,1994,7.0,R,Crime,Jan de Bont,116,7.2,1,0.0603448275862069
1119,Speed,1994,7.0,R,Thriller,Jan de Bont,116,7.2,1,0.0603448275862069
1120,Star Trek: First Contact,1996,63.0,PG-13,Action,Jonathan Frakes,111,7.5,1,0.5675675675675675
1121,Star Trek: First Contact,1996,63.0,PG-13,Adventure,Jonathan Frakes,111,7.5,1,0.5675675675675675
1122,Star Trek: First Contact,1996,63.0,PG-13,Sci-Fi,Jonathan Frakes,111,7.5,1,0.5675675675675675
1123,Star Trek: Nemesis,2002,54.0,PG-13,Action,Stuart Baird,116,6.4,1,0.46551724137931033
1124,Star Trek: Nemesis,2002,54.0,PG-13,Adventure,Stuart Baird,116,6.4,1,0.46551724137931033
1125,Star Trek: Nemesis,2002,54.0,PG-13,Sci-Fi,Stuart Baird,116,6.4,1,0.46551724137931033
1126,Star Trek: Nemesis,2002,54.0,PG-13,Thriller,Stuart Baird,116,6.4,1,0.46551724137931033
1127,Star Wars I: Phantom Menace,1999,34.0,PG,Action,George Lucas,136,6.5,1,0.25
1128,Star Wars I: Phantom Menace,1999,34.0,PG,Adventure,George Lucas,136,6.5,1,0.25
1129,Star Wars I: Phantom Menace,1999,34.0,PG,Fantasy,George Lucas,136,6.5,1,0.25
1130,Star Wars I: Phantom Menace,1999,34.0,PG,Sci-Fi,George Lucas,136,6.5,1,0.25
1131,Star Wars II: Attack of the Clones,2002,55.0,PG,Action,George Lucas,142,6.7,1,0.3873239436619718
1132,Star Wars II: Attack of the Clones,2002,55.0,PG,Adventure,George Lucas,142,6.7,1,0.3873239436619718
1133,Star Wars II: Attack of the Clones,2002,55.0,PG,Fantasy,George Lucas,142,6.7,1,0.3873239436619718
1134,Star Wars II: Attack of the Clones,2002,55.0,PG,Sci-Fi,George Lucas,142,6.7,1,0.3873239436619718
1135,Star Wars III: Revenge of the Sith,2005,115.0,PG-13,Action,George Lucas,140,7.7,1,0.8214285714285714
