,Film,Year,Body_Count,MPAA_Rating,Genre,Director,Length_Minutes,IMDB_Rating,Film_Count,Body_Count_Min
673,Kiss Kiss Bang Bang,2005,15.0,R,Mystery,Shane Black,103,7.7,1,0.14563106796116504
674,Kung Fu Hustle,2004,20.0,R,Action,Stephen Chow,99,7.7,1,0.20202020202020202
675,Kung Fu Hustle,2004,20.0,R,Comedy,Stephen Chow,99,7.7,1,0.20202020202020202
676,Kung Fu Hustle,2004,20.0,R,Crime,Stephen Chow,99,7.7,1,0.20202020202020202
677,Kung Fu Hustle,2004,20.0,R,Fantasy,Stephen Chow,99,7.7,1,0.20202020202020202
678,Land of the Dead,2005,217.0,R,Horror,George A. Romero,93,6.3,1,2.3333333333333335
679,Land of the Dead,2005,217.0,R,Sci-Fi,George A. Romero,93,6.3,1,2.3333333333333335
680,Last Action Hero,1993,45.0,PG-13,Action,John McTiernan,130,6.1,1,0.34615384615384615
681,Last Action Hero,1993,45.0,PG-13,Adventure,John McTiernan,130,6.1,1,0.34615384615384615
682,Last Action Hero,1993,45.0,PG-13,Comedy,John McTiernan,130,6.1,1,0.34615384615384615
683,Last Action Hero,1993,45.0,PG-13,Family,John McTiernan,130,6.1,1,0.34615384615384615
684,Last Action Hero,1993,45.0,PG-13,Fantasy,John McTiernan,130,6.1,1,0.34615384615384615
685,Last Man Standing,1996,57.0,R,Action,Walter Hill,101,6.3,1,0.5643564356435643
686,Last Man Standing,1996,57.0,R,Crime,Walter Hill,101,6.3,1,0.5643564356435643
687,Last Man Standing,1996,57.0,R,Drama,Walter Hill,101,6.3,1,0.5643564356435643
688,Lawrence of Arabia,1962,180.0,PG,Adventure,David Lean,216,8.4,1,0.8333333333333334
689,Lawrence of Arabia,1962,180.0,PG,Biography,David Lean,216,8.4,1,0.8333333333333334
690,Lawrence of Arabia,1962,180.0,PG,Drama,David Lean,216,8.4,1,0.8333333333333334
691,Layer Cake,2004,8.0,R,Crime,Matthew Vaughn,105,7.4,1,0.0761904761904762
692,Layer Cake,2004,8.0,R,Drama,Matthew Vaughn,105,7.4,1,0.0761904761904762
693,Layer Cake,2004,8.0,R,Thriller,Matthew Vaughn,105,7.4,1,0.0761904761904762
694,League of Extraordinary Gentlemen,2003,55.0,PG-13,Action,Stephen Norrington,110,5.7,1,0.5
695,League of Extraordinary Gentlemen,2003,55.0,PG-13,Adventure,Stephen Norrington,110,5.7,1,0.5
696,League of Extraordinary Gentlemen,2003,55.0,PG-13,Fantasy,Stephen Norrington,110,5.7,1,0.5
697,Leon,1994,33.0,R,Crime,Luc Besson,110,8.6,1,0.3
698,Leon,1994,33.0,R,Drama,Luc Besson,110,8.6,1,0.3
699,Leon,1994,33.0,R,Thriller,Luc Besson,110,8.6,1,0.3
700,Leon,1994,33.0,R,Crime,Luc Besson,110,8.6,1,0.3
